Timestamp,Aircraft,Altitude,IAS,TAS,Mach,AoA,AoS,GForce,VerticalSpeed,Aileron,Elevator,Rudder,Flaps,Throttle,RPM,Power,ManifoldPressure,WaterTemperature,OilTemperature,PropellerPitch,Thrust,Fuel
2026-09-06 15:18:22.960,bf-109g-10,967,411,431,0.35,0.9,0.5,1.05,2,-3,2,-3,0,100,2600,1446.4,1.45,75,67,36.9,774,114
2026-09-06 15:18:27.137,bf-109g-10,991,421,441,0.36,1.6,0.2,1.36,13.1,-1,4,-5,0,110,2785,1825.4,1.8,78,70,36.1,910,114
2026-09-06 15:18:31.350,bf-109g-10,1057,425,447,0.37,1.1,-1,1.18,18,11,5,13,0,110,2802,1825.4,1.8,82,74,36.3,915,114
2026-09-06 15:18:35.534,bf-109g-10,1002,432,453,0.37,12,-2.4,5.29,-94.3,4,47,7,0,110,2795,1821.2,1.8,86,78,35.5,898,113
2026-09-06 15:18:39.735,bf-109g-10,596,532,547,0.45,-0.6,-0.6,0.94,-92.1,0,-7,-13,0,110,2804,1791.1,1.81,89,81,39.4,730,112
2026-09-06 15:18:43.900,bf-109g-10,193,621,627,0.51,0.4,-0.1,1.93,-93.8,-1,17,11,0,110,2804,1756.1,1.81,91,84,41.7,585,112
2026-09-06 15:18:48.089,bf-109g-10,134,588,592,0.48,10.7,-2.7,8.89,29.3,12,45,5,0,110,2797,1751.9,1.8,94,86,39.8,604,111
2026-09-06 15:18:52.279,bf-109g-10,294,472,479,0.39,11.3,-1.3,5.93,70.6,26,46,-27,0,110,2803,1783.7,1.8,96,88,35.7,797,111
2026-09-06 15:18:56.451,bf-109g-10,699,321,332,0.27,12.2,-0.1,2.97,78.6,-15,49,5,0,110,2797,1816.8,1.8,98,90,31.2,1183,110
2026-09-06 15:19:00.639,bf-109g-10,766,313,325,0.27,12.4,2.8,2.87,-50,11,48,-21,0,110,2804,1829,1.81,100,92,31,1222,110
2026-09-06 15:19:04.817,bf-109g-10,426,436,446,0.36,0.6,0.5,1.11,-88.6,-3,-4,-3,0,110,2804,1794.7,1.8,101,93,35.9,931,109
2026-09-06 15:19:08.988,bf-109g-10,90,522,524,0.43,3.5,-0.6,3.16,-25.5,-2,9,-7,0,110,2806,1760.5,1.8,102,94,38.2,774,109
2026-09-06 15:19:13.201,bf-109g-10,43,533,534,0.44,0.7,-2.2,1.38,-5.3,-69,5,-28,0,110,2795,1754.9,1.8,103,94,38.5,724,108
2026-09-06 15:19:17.391,bf-109g-10,39,531,532,0.43,6.3,1.9,4.67,-0.1,37,40,5,0,110,2792,1751.7,1.79,104,95,38.3,735,108
2026-09-06 15:19:21.586,bf-109g-10,53,300,301,0.25,-55.2,-30.9,-6.06,-19.4,0,2,-7,0,110,2300,1576.8,1.71,104,95,29.6,1553,107
2026-09-06 15:19:25.788,bf-109g-10,36,28,28,0.02,-7.3,13.4,0.25,-0.5,0,0,0,0,0,2160,0,0.97,102,92,21.4,16,107
2026-09-06 15:19:29.989,bf-109g-10,979,269,282,0.23,4.8,0,1.04,-6.5,-2,14,-7,0,100,2564,1413.9,1.44,64,55,31.4,1048,116
2026-09-06 15:19:34.184,bf-109g-10,968,304,318,0.26,12.1,2.5,2.61,13.5,-36,47,-61,0,110,2785,1812.9,1.8,69,60,30.9,1189,115
2026-09-06 15:19:38.374,bf-109g-10,1142,251,266,0.22,12.7,2.3,1.92,60.1,-2,39,-17,0,110,2801,1791.4,1.8,74,65,29.9,1367,115
